DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
cit-Patents.mtx.el_gz         	    kern_rank_cud_lib_col	  1	  3774768	 16518947	 10	   112.735	     1.242	     0.000	  6141.158	     0.000	    36.456
wb-edu.mtx.el_gz              	    kern_rank_omp_def_row	  1	  9450404	 55311626	 10	   742.867	    36.517	     0.000	 69411.761	     0.000	     0.000
wb-edu.mtx.el_gz              	    kern_rank_omp_stp_row	  1	  9450404	 55311626	 10	   766.771	    54.746	     0.000	 69650.387	     0.000	     0.000
wb-edu.mtx.el_gz              	    kern_rank_omp_bin_row	  1	  9450404	 55311626	 10	   870.957	    60.009	     0.000	 79472.532	     0.000	     0.000
wb-edu.mtx.el_gz              	    kern_rank_cud_def_row	  1	  9450404	 55311626	 10	   123.632	     1.925	     0.000	  7467.197	     0.000	    23.908
wb-edu.mtx.el_gz              	    kern_rank_cud_stp_row	  1	  9450404	 55311626	 10	   129.735	     1.483	     0.000	  7803.773	     0.000	    23.905
wb-edu.mtx.el_gz              	    kern_rank_cud_wrp_row	  1	  9450404	 55311626	 10	   157.948	     1.482	     0.000	 10626.517	     0.000	    23.904
wb-edu.mtx.el_gz              	    kern_rank_cud_dyn_row	  1	  9450404	 55311626	 10	   161.914	     1.488	     0.000	 11022.877	     0.000	    23.904
wb-edu.mtx.el_gz              	    kern_rank_cud_lib_row	  1	  9450404	 55311626	 10	   572.928	    10.300	     0.000	 50935.776	     0.000	    23.908
wb-edu.mtx.el_gz              	    kern_rank_omp_def_col	  1	  9450404	 55311626	 10	   307.724	    36.295	     0.000	 25924.272	     0.000	     0.000
wb-edu.mtx.el_gz              	    kern_rank_omp_stp_col	  1	  9450404	 55311626	 10	   253.557	    54.468	     0.000	 18350.139	     0.000	     0.000
wb-edu.mtx.el_gz              	    kern_rank_omp_bin_col	  1	  9450404	 55311626	 10	   279.902	    59.827	     0.000	 20276.470	     0.000	     0.000
wb-edu.mtx.el_gz              	    kern_rank_cud_def_col	  1	  9450404	 55311626	 10	   303.769	     1.648	     0.000	 15949.235	     0.000	   118.301
wb-edu.mtx.el_gz              	    kern_rank_cud_stp_col	  1	  9450404	 55311626	 10	   209.469	     1.490	     0.000	  7155.427	     0.000	   109.922
wb-edu.mtx.el_gz              	    kern_rank_cud_wrp_col	  1	  9450404	 55311626	 10	   217.711	     1.486	     0.000	  8039.088	     0.000	   109.328
wb-edu.mtx.el_gz              	    kern_rank_cud_dyn_col	  1	  9450404	 55311626	 10	   190.069	     1.491	     0.000	  5135.947	     0.000	   110.734
wb-edu.mtx.el_gz              	    kern_rank_cud_lib_col	  1	  9450404	 55311626	 10	   240.990	    10.247	     0.000	  8982.493	     0.000	   111.395
wikipedia-20070206.mtx.el_gz  	    kern_rank_omp_def_row	  1	  3515067	 45013315	 10	  1966.493	    18.015	     0.000	194132.741	     0.000	     0.000
wikipedia-20070206.mtx.el_gz  	    kern_rank_omp_stp_row	  1	  3515067	 45013315	 10	  1948.361	    27.635	     0.000	191341.968	     0.000	     0.000
wikipedia-20070206.mtx.el_gz  	    kern_rank_omp_bin_row	  1	  3515067	 45013315	 10	  1021.873	    19.857	     0.000	 99561.068	     0.000	     0.000
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_def_row	  1	  3515067	 45013315	 10	   281.771	     0.929	     0.000	 24866.758	     0.000	    16.772
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_stp_row	  1	  3515067	 45013315	 10	   283.841	     1.064	     0.000	 24982.768	     0.000	    16.774
